HOG	OG	Gene Tree Parent Clade	data_Cint	model_Cint
N0.HOG0004207	OG0004006	-	SGZ55432.1	Candida_intermedia@Seq_3220
N0.HOG0004208	OG0004007	-	SGZ55434.1	Candida_intermedia@Seq_314
N0.HOG0004209	OG0004008	-	SGZ55436.1	Candida_intermedia@Seq_820
N0.HOG0004210	OG0004009	-	SGZ55437.1	Candida_intermedia@Seq_2769
N0.HOG0004211	OG0004010	-	SGZ55439.1	Candida_intermedia@Seq_967
N0.HOG0004212	OG0004011	-	SGZ55443.1	Candida_intermedia@Seq_2023
N0.HOG0004213	OG0004012	-	SGZ55445.1	Candida_intermedia@Seq_3360
N0.HOG0004214	OG0004013	-	SGZ55447.1	Candida_intermedia@Seq_4448
N0.HOG0004215	OG0004014	-	SGZ55450.1	Candida_intermedia@Seq_4695
N0.HOG0004216	OG0004015	-	SGZ55452.1	Candida_intermedia@Seq_4119
N0.HOG0004217	OG0004016	-	SGZ55454.1	Candida_intermedia@Seq_4196
N0.HOG0004218	OG0004017	-	SGZ55455.1	Candida_intermedia@Seq_1221
N0.HOG0004219	OG0004018	-	SGZ55461.1	Candida_intermedia@Seq_4817
N0.HOG0004220	OG0004019	-	SGZ55463.1	Candida_intermedia@Seq_543
N0.HOG0004221	OG0004020	-	SGZ55465.1	Candida_intermedia@Seq_2063
N0.HOG0004222	OG0004021	-	SGZ55467.1	Candida_intermedia@Seq_3117
N0.HOG0004223	OG0004022	-	SGZ55468.1	Candida_intermedia@Seq_3022
N0.HOG0004224	OG0004023	-	SGZ55470.1	Candida_intermedia@Seq_2691
N0.HOG0004225	OG0004024	-	SGZ55476.1	Candida_intermedia@Seq_5437
N0.HOG0004226	OG0004025	-	SGZ55478.1	Candida_intermedia@Seq_3592
N0.HOG0004227	OG0004026	-	SGZ55480.1	Candida_intermedia@Seq_4635
N0.HOG0004228	OG0004027	-	SGZ55481.1	Candida_intermedia@Seq_2633
N0.HOG0004229	OG0004028	-	SGZ55483.1	Candida_intermedia@Seq_3994
N0.HOG0004230	OG0004029	-	SGZ55485.1	Candida_intermedia@Seq_4557
N0.HOG0004231	OG0004030	-	SGZ55487.1	Candida_intermedia@Seq_3230
N0.HOG0004232	OG0004031	-	SGZ55489.1	Candida_intermedia@Seq_2481
N0.HOG0004233	OG0004032	-	SGZ55491.1	Candida_intermedia@Seq_2043
N0.HOG0004234	OG0004033	-	SGZ55493.1	Candida_intermedia@Seq_5528
N0.HOG0004235	OG0004034	-	SGZ55495.1	Candida_intermedia@Seq_5108
N0.HOG0004236	OG0004035	-	SGZ55497.1	Candida_intermedia@Seq_494
N0.HOG0004237	OG0004036	-	SGZ55499.1	Candida_intermedia@Seq_2707
N0.HOG0004238	OG0004037	-	SGZ55500.1	Candida_intermedia@Seq_5524
N0.HOG0004239	OG0004038	-	SGZ55503.1	Candida_intermedia@Seq_56
N0.HOG0004240	OG0004039	-	SGZ55506.1	Candida_intermedia@Seq_3099
N0.HOG0004241	OG0004040	-	SGZ55508.1	Candida_intermedia@Seq_3656
N0.HOG0004242	OG0004041	-	SGZ55509.1	Candida_intermedia@Seq_58
N0.HOG0004243	OG0004042	-	SGZ55513.1	Candida_intermedia@Seq_4124
N0.HOG0004244	OG0004043	-	SGZ55515.1	Candida_intermedia@Seq_1553
N0.HOG0004245	OG0004044	-	SGZ55519.1	Candida_intermedia@Seq_3912
N0.HOG0004246	OG0004045	-	SGZ55523.1	Candida_intermedia@Seq_4145
N0.HOG0004247	OG0004046	-	SGZ55525.1	Candida_intermedia@Seq_611
N0.HOG0004248	OG0004047	-	SGZ55527.1	Candida_intermedia@Seq_2148
N0.HOG0004249	OG0004048	-	SGZ55529.1	Candida_intermedia@Seq_1999
N0.HOG0004250	OG0004049	-	SGZ55534.1	Candida_intermedia@Seq_1240
N0.HOG0004251	OG0004050	-	SGZ55538.1	Candida_intermedia@Seq_4243
N0.HOG0004252	OG0004051	-	SGZ55542.1	Candida_intermedia@Seq_391
N0.HOG0004253	OG0004052	-	SGZ55544.1	Candida_intermedia@Seq_351
N0.HOG0004254	OG0004053	-	SGZ55550.1	Candida_intermedia@Seq_4114
N0.HOG0004255	OG0004054	-	SGZ55554.1	Candida_intermedia@Seq_2281
N0.HOG0004256	OG0004055	-	SGZ55556.1	Candida_intermedia@Seq_1346
N0.HOG0004257	OG0004056	-	SGZ55558.1	Candida_intermedia@Seq_1786
N0.HOG0004258	OG0004057	-	SGZ55562.1	Candida_intermedia@Seq_66
N0.HOG0004259	OG0004058	-	SGZ55564.1	Candida_intermedia@Seq_3468
N0.HOG0004260	OG0004059	-	SGZ55565.1	Candida_intermedia@Seq_777
N0.HOG0004261	OG0004060	-	SGZ55567.1	Candida_intermedia@Seq_514
N0.HOG0004262	OG0004061	-	SGZ55569.1	Candida_intermedia@Seq_5188
N0.HOG0004263	OG0004062	-	SGZ55573.1	Candida_intermedia@Seq_2325
N0.HOG0004264	OG0004063	-	SGZ55576.1	Candida_intermedia@Seq_2334
N0.HOG0004265	OG0004064	-	SGZ55579.1	Candida_intermedia@Seq_822
N0.HOG0004266	OG0004065	-	SGZ55581.1	Candida_intermedia@Seq_2940
N0.HOG0004267	OG0004066	-	SGZ55583.1	Candida_intermedia@Seq_986
N0.HOG0004268	OG0004067	-	SGZ55584.1	Candida_intermedia@Seq_507
N0.HOG0004269	OG0004068	-	SGZ55587.1	Candida_intermedia@Seq_4017
N0.HOG0004270	OG0004069	-	SGZ55589.1	Candida_intermedia@Seq_5065
N0.HOG0004271	OG0004070	-	SGZ55590.1	Candida_intermedia@Seq_5176
N0.HOG0004272	OG0004071	-	SGZ55592.1	Candida_intermedia@Seq_4461
N0.HOG0004273	OG0004072	-	SGZ55594.1	Candida_intermedia@Seq_3705
N0.HOG0004274	OG0004073	-	SGZ55598.1	Candida_intermedia@Seq_4178
N0.HOG0004275	OG0004074	-	SGZ55600.1	Candida_intermedia@Seq_3985
N0.HOG0004276	OG0004075	-	SGZ55602.1	Candida_intermedia@Seq_570
N0.HOG0004277	OG0004076	-	SGZ55604.1	Candida_intermedia@Seq_2859
N0.HOG0004278	OG0004077	-	SGZ55607.1	Candida_intermedia@Seq_5397
N0.HOG0004279	OG0004078	-	SGZ55608.1	Candida_intermedia@Seq_1585
N0.HOG0004280	OG0004079	-	SGZ55612.1	Candida_intermedia@Seq_701
N0.HOG0004281	OG0004080	-	SGZ55614.1	Candida_intermedia@Seq_4126
N0.HOG0004282	OG0004081	-	SGZ55616.1	Candida_intermedia@Seq_3937
N0.HOG0004283	OG0004082	-	SGZ55618.1	Candida_intermedia@Seq_3907
N0.HOG0004284	OG0004083	-	SGZ55620.1	Candida_intermedia@Seq_4301
N0.HOG0004285	OG0004084	-	SGZ55622.1	Candida_intermedia@Seq_68
N0.HOG0004286	OG0004085	-	SGZ55628.1	Candida_intermedia@Seq_4926
N0.HOG0004287	OG0004086	-	SGZ55629.1	Candida_intermedia@Seq_1066
N0.HOG0004288	OG0004087	-	SGZ55632.1	Candida_intermedia@Seq_1775
N0.HOG0004289	OG0004088	-	SGZ55634.1	Candida_intermedia@Seq_4850
N0.HOG0004290	OG0004089	-	SGZ55635.1	Candida_intermedia@Seq_1193
N0.HOG0004291	OG0004090	-	SGZ55639.1	Candida_intermedia@Seq_582
N0.HOG0004292	OG0004091	-	SGZ55641.1	Candida_intermedia@Seq_1432
N0.HOG0004293	OG0004092	-	SGZ55643.1	Candida_intermedia@Seq_1081
N0.HOG0004294	OG0004093	-	SGZ55645.1	Candida_intermedia@Seq_4814
N0.HOG0004295	OG0004094	-	SGZ55647.1	Candida_intermedia@Seq_5164
N0.HOG0004296	OG0004095	-	SGZ55649.1	Candida_intermedia@Seq_2598
N0.HOG0004297	OG0004096	-	SGZ55651.1	Candida_intermedia@Seq_1949
N0.HOG0004298	OG0004097	-	SGZ55653.1	Candida_intermedia@Seq_3479
N0.HOG0004299	OG0004098	-	SGZ55655.1	Candida_intermedia@Seq_1253
N0.HOG0004300	OG0004099	-	SGZ55657.1	Candida_intermedia@Seq_1459
N0.HOG0004301	OG0004100	-	SGZ55659.1	Candida_intermedia@Seq_561
N0.HOG0004302	OG0004101	-	SGZ55661.1	Candida_intermedia@Seq_930
N0.HOG0004303	OG0004102	-	SGZ55663.1	Candida_intermedia@Seq_5244
N0.HOG0004304	OG0004103	-	SGZ55665.1	Candida_intermedia@Seq_2407
N0.HOG0004305	OG0004104	-	SGZ55667.1	Candida_intermedia@Seq_1443
N0.HOG0004306	OG0004105	-	SGZ55669.1	Candida_intermedia@Seq_5252
N0.HOG0004307	OG0004106	-	SGZ55673.1	Candida_intermedia@Seq_4579
N0.HOG0004308	OG0004107	-	SGZ55675.1	Candida_intermedia@Seq_4105
N0.HOG0004309	OG0004108	-	SGZ55676.1	Candida_intermedia@Seq_957
N0.HOG0004310	OG0004109	-	SGZ55678.1	Candida_intermedia@Seq_2027
N0.HOG0004311	OG0004110	-	SGZ55680.1	Candida_intermedia@Seq_5405
N0.HOG0004312	OG0004111	-	SGZ55682.1	Candida_intermedia@Seq_204
N0.HOG0004313	OG0004112	-	SGZ55684.1	Candida_intermedia@Seq_2547
N0.HOG0004314	OG0004113	-	SGZ55686.1	Candida_intermedia@Seq_5454
N0.HOG0004315	OG0004114	-	SGZ55688.1	Candida_intermedia@Seq_2735
N0.HOG0004316	OG0004115	-	SGZ55690.1	Candida_intermedia@Seq_717
N0.HOG0004317	OG0004116	-	SGZ55693.1	Candida_intermedia@Seq_366
N0.HOG0004318	OG0004117	-	SGZ55695.1	Candida_intermedia@Seq_4064
N0.HOG0004319	OG0004118	-	SGZ55697.1	Candida_intermedia@Seq_2435
N0.HOG0004320	OG0004119	-	SGZ55703.1	Candida_intermedia@Seq_1386
N0.HOG0004321	OG0004120	-	SGZ55704.1	Candida_intermedia@Seq_4703
N0.HOG0004322	OG0004121	-	SGZ55706.1	Candida_intermedia@Seq_3518
N0.HOG0004323	OG0004122	-	SGZ55708.1	Candida_intermedia@Seq_5067
N0.HOG0004324	OG0004123	-	SGZ55709.1	Candida_intermedia@Seq_2671
N0.HOG0004325	OG0004124	-	SGZ55711.1	Candida_intermedia@Seq_538
N0.HOG0004326	OG0004125	-	SGZ55713.1	Candida_intermedia@Seq_4661
N0.HOG0004327	OG0004126	-	SGZ55714.1	Candida_intermedia@Seq_4962
N0.HOG0004328	OG0004127	-	SGZ55722.1	Candida_intermedia@Seq_96
N0.HOG0004329	OG0004128	-	SGZ55723.1	Candida_intermedia@Seq_5195
N0.HOG0004330	OG0004129	-	SGZ55725.1	Candida_intermedia@Seq_1584
N0.HOG0004331	OG0004130	-	SGZ55727.1	Candida_intermedia@Seq_1526
N0.HOG0004332	OG0004131	-	SGZ55728.1	Candida_intermedia@Seq_3406
N0.HOG0004333	OG0004132	-	SGZ55730.1	Candida_intermedia@Seq_3662
N0.HOG0004334	OG0004133	-	SGZ55732.1	Candida_intermedia@Seq_5243
N0.HOG0004335	OG0004134	-	SGZ55734.1	Candida_intermedia@Seq_5037
N0.HOG0004336	OG0004135	-	SGZ55736.1	Candida_intermedia@Seq_2537
N0.HOG0004337	OG0004136	-	SGZ55738.1	Candida_intermedia@Seq_2702
N0.HOG0004338	OG0004137	-	SGZ55740.1	Candida_intermedia@Seq_4478
N0.HOG0004339	OG0004138	-	SGZ55742.1	Candida_intermedia@Seq_1846
N0.HOG0004340	OG0004139	-	SGZ55744.1	Candida_intermedia@Seq_1798
N0.HOG0004341	OG0004140	-	SGZ55746.1	Candida_intermedia@Seq_3926
N0.HOG0004342	OG0004141	-	SGZ55748.1	Candida_intermedia@Seq_638
N0.HOG0004343	OG0004142	-	SGZ55750.1	Candida_intermedia@Seq_2379
N0.HOG0004344	OG0004143	-	SGZ55752.1	Candida_intermedia@Seq_3873
N0.HOG0004345	OG0004144	-	SGZ55754.1	Candida_intermedia@Seq_4603
N0.HOG0004346	OG0004145	-	SGZ55758.1	Candida_intermedia@Seq_3723
N0.HOG0004347	OG0004146	-	SGZ55760.1	Candida_intermedia@Seq_3094
N0.HOG0004348	OG0004147	-	SGZ55762.1	Candida_intermedia@Seq_992
N0.HOG0004349	OG0004148	-	SGZ55766.1	Candida_intermedia@Seq_1772
N0.HOG0004350	OG0004149	-	SGZ55768.1	Candida_intermedia@Seq_1470
N0.HOG0004351	OG0004150	-	SGZ55770.1	Candida_intermedia@Seq_3247
N0.HOG0004352	OG0004151	-	SGZ55771.1	Candida_intermedia@Seq_4691
N0.HOG0004353	OG0004152	-	SGZ55773.1	Candida_intermedia@Seq_1644
N0.HOG0004354	OG0004153	-	SGZ55777.1	Candida_intermedia@Seq_3293
N0.HOG0004355	OG0004154	-	SGZ55779.1	Candida_intermedia@Seq_3664
N0.HOG0004356	OG0004155	-	SGZ55781.1	Candida_intermedia@Seq_2861
N0.HOG0004357	OG0004156	-	SGZ55783.1	Candida_intermedia@Seq_4825
N0.HOG0004358	OG0004157	-	SGZ55785.1	Candida_intermedia@Seq_5008
N0.HOG0004359	OG0004158	-	SGZ55787.1	Candida_intermedia@Seq_4242
N0.HOG0004360	OG0004159	-	SGZ55789.1	Candida_intermedia@Seq_4156
N0.HOG0004361	OG0004160	-	SGZ55791.1	Candida_intermedia@Seq_4572
N0.HOG0004362	OG0004161	-	SGZ55793.1	Candida_intermedia@Seq_4937
N0.HOG0004363	OG0004162	-	SGZ55797.1	Candida_intermedia@Seq_4671
N0.HOG0004364	OG0004163	-	SGZ55800.1	Candida_intermedia@Seq_342
N0.HOG0004365	OG0004164	-	SGZ55802.1	Candida_intermedia@Seq_1841
N0.HOG0004366	OG0004165	-	SGZ55804.1	Candida_intermedia@Seq_4323
N0.HOG0004367	OG0004166	-	SGZ55806.1	Candida_intermedia@Seq_3358
N0.HOG0004368	OG0004167	-	SGZ55808.1	Candida_intermedia@Seq_4655
N0.HOG0004369	OG0004168	-	SGZ55810.1	Candida_intermedia@Seq_1819
N0.HOG0004370	OG0004169	-	SGZ55813.1	Candida_intermedia@Seq_831
N0.HOG0004371	OG0004170	-	SGZ55816.1	Candida_intermedia@Seq_4251
N0.HOG0004372	OG0004171	-	SGZ55817.1	Candida_intermedia@Seq_5091
N0.HOG0004373	OG0004172	-	SGZ55819.1	Candida_intermedia@Seq_5300
N0.HOG0004374	OG0004173	-	SGZ55823.1	Candida_intermedia@Seq_5424
N0.HOG0004375	OG0004174	-	SGZ55825.1	Candida_intermedia@Seq_2339
N0.HOG0004376	OG0004175	-	SGZ55827.1	Candida_intermedia@Seq_1910
N0.HOG0004377	OG0004176	-	SGZ55828.1	Candida_intermedia@Seq_2991
N0.HOG0004378	OG0004177	-	SGZ55830.1	Candida_intermedia@Seq_1439
N0.HOG0004379	OG0004178	-	SGZ55832.1	Candida_intermedia@Seq_3773
N0.HOG0004380	OG0004179	-	SGZ55836.1	Candida_intermedia@Seq_1778
N0.HOG0004381	OG0004180	-	SGZ55837.1	Candida_intermedia@Seq_2204
N0.HOG0004382	OG0004181	-	SGZ55839.1	Candida_intermedia@Seq_2533
N0.HOG0004383	OG0004182	-	SGZ55841.1	Candida_intermedia@Seq_4199
N0.HOG0004384	OG0004183	-	SGZ55843.1	Candida_intermedia@Seq_4108
N0.HOG0004385	OG0004184	-	SGZ55845.1	Candida_intermedia@Seq_1853
N0.HOG0004386	OG0004185	-	SGZ55849.1	Candida_intermedia@Seq_844
N0.HOG0004387	OG0004186	-	SGZ55851.1	Candida_intermedia@Seq_1294
N0.HOG0004388	OG0004187	-	SGZ55853.1	Candida_intermedia@Seq_1088
N0.HOG0004389	OG0004188	-	SGZ55855.1	Candida_intermedia@Seq_2594
N0.HOG0004390	OG0004189	-	SGZ55857.1	Candida_intermedia@Seq_75
N0.HOG0004391	OG0004190	-	SGZ55859.1	Candida_intermedia@Seq_5484
N0.HOG0004392	OG0004191	-	SGZ55863.1	Candida_intermedia@Seq_5214
N0.HOG0004393	OG0004192	-	SGZ55865.1	Candida_intermedia@Seq_2122
N0.HOG0004394	OG0004193	-	SGZ55867.1	Candida_intermedia@Seq_119
N0.HOG0004395	OG0004194	-	SGZ55868.1	Candida_intermedia@Seq_2722
N0.HOG0004396	OG0004195	-	SGZ55872.1	Candida_intermedia@Seq_2142
N0.HOG0004397	OG0004196	-	SGZ55876.1	Candida_intermedia@Seq_4793
N0.HOG0004398	OG0004197	-	SGZ55878.1	Candida_intermedia@Seq_4332
N0.HOG0004399	OG0004198	-	SGZ55880.1	Candida_intermedia@Seq_5404
N0.HOG0004400	OG0004199	-	SGZ55881.1	Candida_intermedia@Seq_3232
N0.HOG0004401	OG0004200	-	SGZ55883.1	Candida_intermedia@Seq_4849
N0.HOG0004402	OG0004201	-	SGZ55887.1	Candida_intermedia@Seq_1437
N0.HOG0004403	OG0004202	-	SGZ55889.1	Candida_intermedia@Seq_2130
N0.HOG0004404	OG0004203	-	SGZ55894.1	Candida_intermedia@Seq_3877
N0.HOG0004405	OG0004204	-	SGZ55896.1	Candida_intermedia@Seq_5492
N0.HOG0004406	OG0004205	-	SGZ55897.1	Candida_intermedia@Seq_1974
N0.HOG0004407	OG0004206	-	SGZ55899.1	Candida_intermedia@Seq_5486
N0.HOG0004408	OG0004207	-	SGZ55903.1	Candida_intermedia@Seq_790
N0.HOG0004409	OG0004208	-	SGZ55905.1	Candida_intermedia@Seq_5241
N0.HOG0004410	OG0004209	-	SGZ55907.1	Candida_intermedia@Seq_4969
N0.HOG0004411	OG0004210	-	SGZ55908.1	Candida_intermedia@Seq_5446
N0.HOG0004412	OG0004211	-	SGZ55910.1	Candida_intermedia@Seq_850
N0.HOG0004413	OG0004212	-	SGZ55911.1	Candida_intermedia@Seq_4298
N0.HOG0004414	OG0004213	-	SGZ55913.1	Candida_intermedia@Seq_5453
N0.HOG0004415	OG0004214	-	SGZ55915.1	Candida_intermedia@Seq_2894
N0.HOG0004416	OG0004215	-	SGZ55917.1	Candida_intermedia@Seq_4019
N0.HOG0004417	OG0004216	-	SGZ55920.1	Candida_intermedia@Seq_4901
N0.HOG0004418	OG0004217	-	SGZ55922.1	Candida_intermedia@Seq_4398
N0.HOG0004419	OG0004218	-	SGZ55923.1	Candida_intermedia@Seq_3840
N0.HOG0004420	OG0004219	-	SGZ55925.1	Candida_intermedia@Seq_2760
N0.HOG0004421	OG0004220	-	SGZ55927.1	Candida_intermedia@Seq_2143
N0.HOG0004422	OG0004221	-	SGZ55929.1	Candida_intermedia@Seq_812
N0.HOG0004423	OG0004222	-	SGZ55931.1	Candida_intermedia@Seq_4696
N0.HOG0004424	OG0004223	-	SGZ55932.1	Candida_intermedia@Seq_5066
N0.HOG0004425	OG0004224	-	SGZ55937.1	Candida_intermedia@Seq_3140
N0.HOG0004426	OG0004225	-	SGZ55940.1	Candida_intermedia@Seq_4957
N0.HOG0004427	OG0004226	-	SGZ55941.1	Candida_intermedia@Seq_2420
N0.HOG0004428	OG0004227	-	SGZ55943.1	Candida_intermedia@Seq_2948
N0.HOG0004429	OG0004228	-	SGZ55944.1	Candida_intermedia@Seq_2518
N0.HOG0004430	OG0004229	-	SGZ55946.1	Candida_intermedia@Seq_5009
N0.HOG0004431	OG0004230	-	SGZ55948.1	Candida_intermedia@Seq_1426
N0.HOG0004432	OG0004231	-	SGZ55950.1	Candida_intermedia@Seq_255
N0.HOG0004433	OG0004232	-	SGZ55952.1	Candida_intermedia@Seq_5106
N0.HOG0004434	OG0004233	-	SGZ55955.1	Candida_intermedia@Seq_4472
N0.HOG0004435	OG0004234	-	SGZ55957.1	Candida_intermedia@Seq_5257
N0.HOG0004436	OG0004235	-	SGZ55959.1	Candida_intermedia@Seq_1159
N0.HOG0004437	OG0004236	-	SGZ55961.1	Candida_intermedia@Seq_5452
N0.HOG0004438	OG0004237	-	SGZ55963.1	Candida_intermedia@Seq_2155
N0.HOG0004439	OG0004238	-	SGZ55965.1	Candida_intermedia@Seq_2198
N0.HOG0004440	OG0004239	-	SGZ55966.1	Candida_intermedia@Seq_5426
N0.HOG0004441	OG0004240	-	SGZ55969.1	Candida_intermedia@Seq_4856
N0.HOG0004442	OG0004241	-	SGZ55970.1	Candida_intermedia@Seq_1059
N0.HOG0004443	OG0004242	-	SGZ55972.1	Candida_intermedia@Seq_2215
N0.HOG0004444	OG0004243	-	SGZ55974.1	Candida_intermedia@Seq_3074
N0.HOG0004445	OG0004244	-	SGZ55977.1	Candida_intermedia@Seq_5491
N0.HOG0004446	OG0004245	-	SGZ55980.1	Candida_intermedia@Seq_1000
N0.HOG0004447	OG0004246	-	SGZ55982.1	Candida_intermedia@Seq_5311
N0.HOG0004448	OG0004247	-	SGZ55983.1	Candida_intermedia@Seq_5326
N0.HOG0004449	OG0004248	-	SGZ55985.1	Candida_intermedia@Seq_1036
N0.HOG0004450	OG0004249	-	SGZ55987.1	Candida_intermedia@Seq_824
N0.HOG0004451	OG0004250	-	SGZ55989.1	Candida_intermedia@Seq_2152
N0.HOG0004452	OG0004251	-	SGZ55991.1	Candida_intermedia@Seq_4133
N0.HOG0004453	OG0004252	-	SGZ55993.1	Candida_intermedia@Seq_912
N0.HOG0004454	OG0004253	-	SGZ55995.1	Candida_intermedia@Seq_4488
N0.HOG0004455	OG0004254	-	SGZ55997.1	Candida_intermedia@Seq_1617
N0.HOG0004456	OG0004255	-	SGZ55999.1	Candida_intermedia@Seq_1435
N0.HOG0004457	OG0004256	-	SGZ56000.1	Candida_intermedia@Seq_1701
N0.HOG0004458	OG0004257	-	SGZ56003.1	Candida_intermedia@Seq_513
N0.HOG0004459	OG0004258	-	SGZ56005.1	Candida_intermedia@Seq_87
N0.HOG0004460	OG0004259	-	SGZ56007.1	Candida_intermedia@Seq_3038
N0.HOG0004461	OG0004260	-	SGZ56008.1	Candida_intermedia@Seq_389
N0.HOG0004462	OG0004261	-	SGZ56010.1	Candida_intermedia@Seq_2274
N0.HOG0004463	OG0004262	-	SGZ56012.1	Candida_intermedia@Seq_950
N0.HOG0004464	OG0004263	-	SGZ56016.1	Candida_intermedia@Seq_2211
N0.HOG0004465	OG0004264	-	SGZ56018.1	Candida_intermedia@Seq_3648
N0.HOG0004466	OG0004265	-	SGZ56020.1	Candida_intermedia@Seq_1586
N0.HOG0004467	OG0004266	-	SGZ56022.1	Candida_intermedia@Seq_978
N0.HOG0004468	OG0004267	-	SGZ56026.1	Candida_intermedia@Seq_94
N0.HOG0004469	OG0004268	-	SGZ56028.1	Candida_intermedia@Seq_2721
N0.HOG0004470	OG0004269	-	SGZ56030.1	Candida_intermedia@Seq_1862
N0.HOG0004471	OG0004270	-	SGZ56034.1	Candida_intermedia@Seq_752
N0.HOG0004472	OG0004271	-	SGZ56036.1	Candida_intermedia@Seq_5410
N0.HOG0004473	OG0004272	-	SGZ56038.1	Candida_intermedia@Seq_2399
N0.HOG0004474	OG0004273	-	SGZ56040.1	Candida_intermedia@Seq_2108
N0.HOG0004475	OG0004274	-	SGZ56042.1	Candida_intermedia@Seq_4656
N0.HOG0004476	OG0004275	-	SGZ56045.1	Candida_intermedia@Seq_3219
N0.HOG0004477	OG0004276	-	SGZ56048.1	Candida_intermedia@Seq_2156
N0.HOG0004478	OG0004277	-	SGZ56053.1	Candida_intermedia@Seq_871
N0.HOG0004479	OG0004278	-	SGZ56055.1	Candida_intermedia@Seq_1783
N0.HOG0004480	OG0004279	-	SGZ56057.1	Candida_intermedia@Seq_4853
N0.HOG0004481	OG0004280	-	SGZ56058.1	Candida_intermedia@Seq_711
N0.HOG0004482	OG0004281	-	SGZ56062.1	Candida_intermedia@Seq_3499
N0.HOG0004483	OG0004282	-	SGZ56063.1	Candida_intermedia@Seq_5249
N0.HOG0004484	OG0004283	-	SGZ56065.1	Candida_intermedia@Seq_181
N0.HOG0004485	OG0004284	-	SGZ56067.1	Candida_intermedia@Seq_2699
N0.HOG0004486	OG0004285	-	SGZ56069.1	Candida_intermedia@Seq_4573
N0.HOG0004487	OG0004286	-	SGZ56071.1	Candida_intermedia@Seq_1087
N0.HOG0004488	OG0004287	-	SGZ56073.1	Candida_intermedia@Seq_4909
N0.HOG0004489	OG0004288	-	SGZ56074.1	Candida_intermedia@Seq_2393
N0.HOG0004490	OG0004289	-	SGZ56076.1	Candida_intermedia@Seq_423
N0.HOG0004491	OG0004290	-	SGZ56078.1	Candida_intermedia@Seq_1547
N0.HOG0004492	OG0004291	-	SGZ56080.1	Candida_intermedia@Seq_1280
N0.HOG0004493	OG0004292	-	SGZ56081.1	Candida_intermedia@Seq_1223
N0.HOG0004494	OG0004293	-	SGZ56084.1	Candida_intermedia@Seq_5509
N0.HOG0004495	OG0004294	-	SGZ56086.1	Candida_intermedia@Seq_1973
N0.HOG0004496	OG0004295	-	SGZ56090.1	Candida_intermedia@Seq_5133
N0.HOG0004497	OG0004296	-	SGZ56092.1	Candida_intermedia@Seq_121
N0.HOG0004498	OG0004297	-	SGZ56094.1	Candida_intermedia@Seq_869
N0.HOG0004499	OG0004298	-	SGZ56096.1	Candida_intermedia@Seq_497
N0.HOG0004500	OG0004299	-	SGZ56098.1	Candida_intermedia@Seq_5261
N0.HOG0004501	OG0004300	-	SGZ56102.1	Candida_intermedia@Seq_1177
N0.HOG0004502	OG0004301	-	SGZ56103.1	Candida_intermedia@Seq_79
N0.HOG0004503	OG0004302	-	SGZ56105.1	Candida_intermedia@Seq_1791
N0.HOG0004504	OG0004303	-	SGZ56108.1	Candida_intermedia@Seq_1205
N0.HOG0004505	OG0004304	-	SGZ56110.1	Candida_intermedia@Seq_5287
N0.HOG0004506	OG0004305	-	SGZ56111.1	Candida_intermedia@Seq_229
N0.HOG0004507	OG0004306	-	SGZ56114.1	Candida_intermedia@Seq_3968
N0.HOG0004508	OG0004307	-	SGZ56116.1	Candida_intermedia@Seq_1903
N0.HOG0004509	OG0004308	-	SGZ56120.1	Candida_intermedia@Seq_1655
N0.HOG0004510	OG0004309	-	SGZ56124.1	Candida_intermedia@Seq_3999
N0.HOG0004511	OG0004310	-	SGZ56128.1	Candida_intermedia@Seq_3272
N0.HOG0004512	OG0004311	-	SGZ56131.1	Candida_intermedia@Seq_2415
N0.HOG0004513	OG0004312	-	SGZ56134.1	Candida_intermedia@Seq_4835
N0.HOG0004514	OG0004313	-	SGZ56136.1	Candida_intermedia@Seq_4438
N0.HOG0004515	OG0004314	-	SGZ56138.1	Candida_intermedia@Seq_1788
N0.HOG0004516	OG0004315	-	SGZ56140.1	Candida_intermedia@Seq_2428
N0.HOG0004517	OG0004316	-	SGZ56142.1	Candida_intermedia@Seq_3383
N0.HOG0004518	OG0004317	-	SGZ56144.1	Candida_intermedia@Seq_1562
N0.HOG0004519	OG0004318	-	SGZ56148.1	Candida_intermedia@Seq_4371
N0.HOG0004520	OG0004319	-	SGZ56150.1	Candida_intermedia@Seq_743
N0.HOG0004521	OG0004320	-	SGZ56153.1	Candida_intermedia@Seq_222
N0.HOG0004522	OG0004321	-	SGZ56155.1	Candida_intermedia@Seq_1018
N0.HOG0004523	OG0004322	-	SGZ56157.1	Candida_intermedia@Seq_99
N0.HOG0004524	OG0004323	-	SGZ56159.1	Candida_intermedia@Seq_4881
N0.HOG0004525	OG0004324	-	SGZ56161.1	Candida_intermedia@Seq_606
N0.HOG0004526	OG0004325	-	SGZ56163.1	Candida_intermedia@Seq_2488
N0.HOG0004527	OG0004326	-	SGZ56165.1	Candida_intermedia@Seq_948
N0.HOG0004528	OG0004327	-	SGZ56167.1	Candida_intermedia@Seq_5220
N0.HOG0004529	OG0004328	-	SGZ56168.1	Candida_intermedia@Seq_3904
N0.HOG0004530	OG0004329	-	SGZ56172.1	Candida_intermedia@Seq_138
N0.HOG0004531	OG0004330	-	SGZ56174.1	Candida_intermedia@Seq_3447
N0.HOG0004532	OG0004331	-	SGZ56177.1	Candida_intermedia@Seq_2678
